houseNumber,streetName,countedRentalUnits,countedHomeownershipUnits,allCountedUnits,totalBuildingUnits,baseSquareFootage,councilDistrict,postcode,reportingConstructionType,Ratio
83,2 AVENUE,1,3,4,4,1600,2,10003,Preservation,1:3
13,EAST 3 STREET,1,9,10,10,2175,2,10003,Preservation,1:9
21,EAST 3 STREET,5,11,16,16,2404,2,10003,Preservation,5:11
23,EAST 3 STREET,3,14,17,17,2438,2,10003,Preservation,3:14
25,EAST 3 STREET,2,16,18,18,2383,2,10003,Preservation,2:16
27,EAST 3 STREET,1,12,13,13,2000,2,10003,Preservation,1:12
89,EAST 3 STREET,0,15,15,15,2404,2,10003,Preservation,0:15
9,EAST 3 STREET,0,13,13,13,2084,2,10003,Preservation,0:13
56,EAST 4 STREET,2,17,19,19,2402,2,10003,Preservation,2:17
57,EAST 4 STREET,2,15,17,17,2404,2,10003,Preservation,2:15
58,EAST 4 STREET,1,14,15,15,2500,2,10003,Preservation,1:14
60,EAST 4 STREET,3,19,22,22,2808,2,10003,Preservation,3:19
63,EAST 4 STREET,3,15,18,18,2500,2,10003,Preservation,3:15
65,EAST 4 STREET,2,12,14,14,2500,2,10003,Preservation,2:12
67,EAST 4 STREET,4,13,17,17,2500,2,10003,Preservation,4:13
69,EAST 4 STREET,2,20,22,22,1,2,10003,Preservation,2:20
71,EAST 4 STREET,1,12,13,13,1,2,10003,Preservation,1:12
73,EAST 4 STREET,1,19,20,20,1,2,10003,Preservation,1:19
75,EAST 4 STREET,1,18,19,19,1,2,10003,Preservation,1:18
222,EAST 13 STREET,18,0,18,18,1418,2,10003,Preservation,18:0
204,AVENUE A,0,10,10,10,0,2,10009,New Construction,0:10
535,EAST 12 STREET,11,0,11,11,0,2,10009,New Construction,11:0
330,EAST 4 STREET,33,0,33,33,2204,2,10009,Preservation,33:0
335,EAST 27 STREET,23,0,23,55,3560,2,10016,New Construction,23:0
377,EAST 10 STREET,0,12,12,12,2370,2,10009,Preservation,0:12
544,EAST 13 STREET,0,14,14,14,2468,2,10009,Preservation,0:14
277,EAST 4 STREET,24,0,24,24,,2,10009,Preservation,24:0
635,EAST 12 STREET,269,0,269,269,,2,10009,Preservation,269:0
143,EAST 23 STREET,327,0,327,327,0,2,10010,Preservation,327:0
139,AVENUE D,45,0,45,45,0,2,10009,Preservation,45:0
54,LEXINGTON AVENUE,50,0,50,50,23849,2,10010,Preservation,50:0
147,DELANCEY STREET,0,0,0,83,15000,1,10002,New Construction,0:0
37,AVENUE B,6,0,6,6,4664,2,10009,Preservation,6:0
77,EAST 4 STREET,0,15,15,15,1,2,10003,Preservation,0:15
195,AVENUE C,0,9,9,9,1254,2,10009,Preservation,0:9
406,EAST 10 STREET,0,21,21,21,3120,2,10009,Preservation,0:21
533,EAST 11 STREET,0,14,14,14,2200,2,10009,Preservation,0:14
302,EAST 2 STREET,45,0,45,45,3057,2,10009,New Construction,45:0
276,EAST 7 STREET,0,17,17,17,2208,2,10009,Preservation,0:17
195,AVENUE B,16,0,16,16,4650,2,10009,Preservation,16:0
199,AVENUE B,23,0,23,23,2093,2,10009,Preservation,23:0
627,EAST 9 STREET,35,0,35,35,9227,2,10009,Preservation,35:0
374,EAST 10 STREET,17,0,17,17,4614,2,10009,Preservation,17:0
368,EAST 8 STREET,2,27,29,29,3840,2,10009,Preservation,2:27
460,WASHINGTON STREET,22,0,22,107,25641,1,10013,New Construction,22:0
145,CLINTON STREET,104,0,104,211,28207,1,10002,New Construction,104:0
115,DELANCEY STREET,98,0,98,195,41807,1,10002,New Construction,98:0
164,BROOME STREET,100,0,100,100,20246,1,10002,New Construction,100:0
351,WEST 42 STREET,0,0,0,308,8000,3,10036,Preservation,0:0
315,8 AVENUE,0,0,0,186,59250,3,10001,Preservation,0:0
363,8 AVENUE,0,0,0,186,84550,3,10001,Preservation,0:0
