instructions_key_resp.keys,instructions_key_resp.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,trial_resp.x,trial_resp.y,trial_resp.leftButton,trial_resp.midButton,trial_resp.rightButton,trial_resp.time,trial_resp.clicked_name,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,target_x,is_valid,instructionss_key_resp.keys,instructionss_key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,4.8901,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,-0.492880695,-0.013737448,1,0,0,5.926,trial_target,0,0,0,1,1,images/arrow_left.png,-0.5,valid,,,,,,,
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,0.495138264,0.011859263,1,0,0,0.7401,trial_target,0,1,1,6,1,images/arrow_right.png,0.5,valid,,,,,,,
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,-0.510238684,-0.003798524,1,0,0,1.0059,trial_target,0,2,2,0,1,images/arrow_left.png,-0.5,valid,,,,,,,
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,0.474525067,-0.021774768,1,0,0,0.6302,trial_target,0,3,3,7,1,images/arrow_right.png,0.5,valid,,,,,,,
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,0.47913388,-0.02503466,1,0,0,0.7819,trial_target,0,4,4,4,1,images/arrow_right.png,0.5,valid,,,,,,,
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,0.513798336,0.019512515,1,0,0,1.0081,trial_target,0,5,5,8,1,images/arrow_left.png,0.5,invalid,,,,,,,
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,0.539385679,-0.016987972,1,0,0,1.0054,trial_target,0,6,6,5,1,images/arrow_right.png,0.5,valid,,,,,,,
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,-0.446965865,-0.003658011,1,0,0,0.4969,trial_target,0,7,7,2,1,images/arrow_left.png,-0.5,valid,,,,,,,
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,-0.467312088,-0.072218787,1,0,0,0.5003,trial_target,0,8,8,9,1,images/arrow_right.png,-0.5,invalid,,,,,,,
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,-0.543029639,-0.019498464,1,0,0,0.8411,trial_target,0,9,9,3,1,images/arrow_left.png,-0.5,valid,,,,,,,
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,space,7.8124,,,,,
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,-0.519554669,0.019624925,1,0,0,0.5909,trial_target,,,,,,images/arrow_left.png,-0.5,valid,,,0,0,0,1,1
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,-0.466473696,-0.006243443,1,0,0,0.7919,trial_target,,,,,,images/arrow_right.png,-0.5,invalid,,,0,1,1,9,1
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,-0.527676296,-0.007643885,1,0,0,0.3917,trial_target,,,,,,images/arrow_left.png,-0.5,valid,,,0,2,2,0,1
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,-0.470262852,0.001718937,1,0,0,0.3419,trial_target,,,,,,images/arrow_left.png,-0.5,valid,,,0,3,3,3,1
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,0.509451814,0.012369792,1,0,0,0.5994,trial_target,,,,,,images/arrow_right.png,0.5,valid,,,0,4,4,5,1
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,0.537446605,0.027325015,1,0,0,0.9496,trial_target,,,,,,images/arrow_right.png,0.5,valid,,,0,5,5,7,1
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,0.475803732,0.008660259,1,0,0,0.6402,trial_target,,,,,,images/arrow_right.png,0.5,valid,,,0,6,6,4,1
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,0.553408835,-0.013526679,1,0,0,0.5418,trial_target,,,,,,images/arrow_right.png,0.5,valid,,,0,7,7,6,1
,,hgj,001,2022-12-10_16h40.20.177,ponser_DM,2022.2.4,MacIntel,120.0048002,0.478487522,0.039034397,1,0,0,0.7166,trial_target,,,,,,images/arrow_left.png,0.5,invalid,,,0,8,8,8,1
